no;bagian;fungsi;nama;nopek;january_training;january_sertifikasi_kompetensi;january_mobile_learning;february_training;february_sertifikasi_kompetensi;february_mobile_learning;march_training;march_sertifikasi_kompetensi;march_mobile_learning;april_training;april_sertifikasi_kompetensi;april_mobile_learning;may_training;may_sertifikasi_kompetensi;may_mobile_learning;june_training;june_sertifikasi_kompetensi;june_mobile_learning;july_training;july_sertifikasi_kompetensi;july_mobile_learning;august_training;august_sertifikasi_kompetensi;august_mobile_learning;september_training;september_sertifikasi_kompetensi;september_mobile_learning;data_issue
11;Fuel Oil Complex I;Processing Line A;Employee_0011;ID0011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
12;Fuel Oil Complex I;Processing Line A;Employee_0012;ID0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
13;Fuel Oil Complex I;Processing Line A;Employee_0013;ID0013;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
14;Fuel Oil Complex I;Processing Line A;Employee_0014;ID0014;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
15;Fuel Oil Complex I;Processing Line A;Employee_0015;ID0015;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
16;Fuel Oil Complex I;Processing Line A;Employee_0016;ID0016;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
17;Fuel Oil Complex I;Processing Line A;Employee_0017;ID0017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;FALSE
18;Fuel Oil Complex I;Processing Line A;Employee_0018;ID0018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
19;Fuel Oil Complex I;Processing Line A;Employee_0019;ID0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
20;Fuel Oil Complex I;Processing Line A;Employee_0020;ID0020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;FALSE
21;Fuel Oil Complex I;Processing Line A;Employee_0021;ID0021;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;FALSE
22;Fuel Oil Complex I;Processing Line A;Employee_0022;ID0022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
23;Fuel Oil Complex I;Processing Line A;Employee_0023;ID0023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;FALSE
24;Fuel Oil Complex I;Processing Line A;Employee_0024;ID0024;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;FALSE
25;Fuel Oil Complex I;Processing Line A;Employee_0025;ID0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
26;Fuel Oil Complex I;Processing Line A;Employee_0026;ID0026;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;FALSE
27;Fuel Oil Complex I;Processing Line A;Employee_0027;ID0027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
28;Fuel Oil Complex I;Processing Line A;Employee_0028;ID0028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
29;Fuel Oil Complex I;Processing Line A;Employee_0029;ID0029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
30;Fuel Oil Complex I;Processing Line A;Employee_0030;ID0030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
31;Fuel Oil Complex I;Processing Line A;Employee_0031;ID0031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
32;Fuel Oil Complex I;Processing Line A;Employee_0032;ID0032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
33;Fuel Oil Complex I;Processing Line A;Employee_0033;ID0033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
34;Fuel Oil Complex I;Processing Line A;Employee_0034;ID0034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
35;Fuel Oil Complex I;Processing Line A;Employee_0035;ID0035;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
36;Fuel Oil Complex I;Processing Line A;Employee_0036;ID0036;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
37;Fuel Oil Complex I;Processing Line A;Employee_0037;ID0037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
38;Fuel Oil Complex I;Processing Line A;Employee_0038;ID0038;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
39;Fuel Oil Complex I;Processing Line A;Employee_0039;ID0039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
40;Fuel Oil Complex I;Processing Line A;Employee_0040;ID0040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;FALSE
41;Fuel Oil Complex I;Processing Line A;Employee_0041;ID0041;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;FALSE
42;Fuel Oil Complex I;Processing Line A;Employee_0042;ID0042;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
43;Fuel Oil Complex I;Processing Line A;Employee_0043;ID0043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
44;Fuel Oil Complex I;Processing Line A;Employee_0044;ID0044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
45;Fuel Oil Complex I;Processing Line A;Employee_0045;ID0045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
46;Fuel Oil Complex I;Processing Line A;Employee_0046;ID0046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
47;Fuel Oil Complex I;Processing Line A;Employee_0047;ID0047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
48;Fuel Oil Complex I;Processing Line A;Employee_0048;ID0048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
49;Fuel Oil Complex I;Processing Line A;Employee_0049;ID0049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
50;Fuel Oil Complex I;Processing Line A;Employee_0050;ID0050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
51;Fuel Oil Complex I;Processing Line A;Employee_0051;ID0051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
52;Fuel Oil Complex I;Processing Line A;Employee_0052;ID0052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
53;Fuel Oil Complex I;Processing Line A;Employee_0053;ID0053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;FALSE
54;Fuel Oil Complex I;Processing Line A;Employee_0054;ID0054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
55;Fuel Oil Complex I;Processing Line A;Employee_0055;ID0055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;FALSE
56;Fuel Oil Complex II;Processing Line A;Employee_0056;ID0056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;FALSE
57;Fuel Oil Complex II;Processing Line A;Employee_0057;ID0057;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;1;0;0;0;0;FALSE
58;Fuel Oil Complex II;Processing Line A;Employee_0058;ID0058;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;FALSE
59;Fuel Oil Complex II;Processing Line A;Employee_0059;ID0059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
60;Fuel Oil Complex II;Processing Line A;Employee_0060;ID0060;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
61;Fuel Oil Complex II;Processing Line A;Employee_0061;ID0061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;FALSE
62;Fuel Oil Complex II;Processing Line A;Employee_0062;ID0062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
63;Fuel Oil Complex II;Processing Line A;Employee_0063;ID0063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
64;Fuel Oil Complex II;Processing Line A;Employee_0064;ID0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
65;Fuel Oil Complex II;Processing Line A;Employee_0065;ID0065;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;FALSE
66;Fuel Oil Complex II;Processing Line A;Employee_0066;ID0066;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
67;Fuel Oil Complex II;Processing Line A;Employee_0067;ID0067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;FALSE
68;Fuel Oil Complex II;Processing Line A;Employee_0068;ID0068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;FALSE
69;Fuel Oil Complex II;Processing Line A;Employee_0069;ID0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
70;Fuel Oil Complex II;Processing Line A;Employee_0070;ID0070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
71;Fuel Oil Complex II;Processing Line A;Employee_0071;ID0071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
72;Fuel Oil Complex II;Processing Line A;Employee_0072;ID0072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
73;Fuel Oil Complex II;Processing Line A;Employee_0073;ID0073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
74;Fuel Oil Complex II;Processing Line A;Employee_0074;ID0074;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
75;Fuel Oil Complex II;Processing Line A;Employee_0075;ID0075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
76;Fuel Oil Complex II;Processing Line A;Employee_0076;ID0076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
77;Fuel Oil Complex II;Processing Line A;Employee_0077;ID0077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
78;Fuel Oil Complex II;Processing Line A;Employee_0078;ID0078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
79;Fuel Oil Complex II;Processing Line A;Employee_0079;ID0079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
80;Fuel Oil Complex II;Processing Line A;Employee_0080;ID0080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
81;Fuel Oil Complex II;Processing Line A;Employee_0081;ID0081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
82;Fuel Oil Complex II;Processing Line A;Employee_0082;ID0082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
83;Fuel Oil Complex II;Processing Line A;Employee_0083;ID0083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
84;Fuel Oil Complex II;Processing Line A;Employee_0084;ID0084;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
85;Fuel Oil Complex II;Processing Line A;Employee_0085;ID0085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;FALSE
86;Fuel Oil Complex II;Processing Line A;Employee_0086;ID0086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;FALSE
87;Fuel Oil Complex II;Processing Line A;Employee_0087;ID0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
88;Fuel Oil Complex II;Processing Line A;Employee_0088;ID0088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
89;Fuel Oil Complex II;Processing Line A;Employee_0089;ID0089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
90;Fuel Oil Complex II;Processing Line A;Employee_0090;ID0090;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
91;Fuel Oil Complex II;Processing Line A;Employee_0091;ID0091;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
92;Fuel Oil Complex II;Processing Line A;Employee_0092;ID0092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
93;Fuel Oil Complex II;Processing Line A;Employee_0093;ID0093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
94;Fuel Oil Complex II;Processing Line A;Employee_0094;ID0094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
95;Fuel Oil Complex II;Processing Line A;Employee_0095;ID0095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
96;Fuel Oil Complex II;Processing Line A;Employee_0096;ID0096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
97;Fuel Oil Complex II;Processing Line A;Employee_0097;ID0097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;FALSE
98;Fuel Oil Complex II;Processing Line A;Employee_0098;ID0098;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
99;Fuel Oil Complex II;Processing Line A;Employee_0099;ID0099;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;FALSE
100;Fuel Oil Complex II;Processing Line A;Employee_0100;ID0100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
101;Fuel Oil Complex II;Processing Line A;Employee_0101;ID0101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
102;Fuel Oil Complex II;Processing Line A;Employee_0102;ID0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
103;Fuel Oil Complex II;Processing Line A;Employee_0103;ID0103;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
104;Fuel Oil Complex II;Processing Line A;Employee_0104;ID0104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
105;Fuel Oil Complex II;Processing Line A;Employee_0105;ID0105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
106;Fuel Oil Complex II;Processing Line A;Employee_0106;ID0106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
107;Fuel Oil Complex II;Processing Line A;Employee_0107;ID0107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
108;Fuel Oil Complex II;Processing Line A;Employee_0108;ID0108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
109;Fuel Oil Complex II;Processing Line A;Employee_0109;ID0109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
110;Fuel Oil Complex II;Processing Line A;Employee_0110;ID0110;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
111;Fuel Oil Complex II;Processing Line A;Employee_0111;ID0111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
112;Fuel Oil Complex II;Processing Line A;Employee_0112;ID0112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
113;Fuel Oil Complex II;Processing Line A;Employee_0113;ID0113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
114;Fuel Oil Complex II;Processing Line A;Employee_0114;ID0114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
115;Fuel Oil Complex II;Processing Line A;Employee_0115;ID0115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;FALSE
116;Fuel Oil Complex II;Processing Line A;Employee_0116;ID0116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
117;Fuel Oil Complex II;Processing Line A;Employee_0117;ID0117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;FALSE
118;Fuel Oil Complex II;Processing Line A;Employee_0118;ID0118;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
119;Fuel Oil Complex II;Processing Line A;Employee_0119;ID0119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;FALSE
120;Fuel Oil Complex II;Processing Line A;Employee_0120;ID0120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
121;Fuel Oil Complex II;Processing Line A;Employee_0121;ID0121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
122;Fuel Oil Complex II;Processing Line A;Employee_0122;ID0122;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;FALSE
123;Fuel Oil Complex II;Processing Line A;Employee_0123;ID0123;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;FALSE
124;Fuel Oil Complex II;Processing Line A;Employee_0124;ID0124;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
125;Fuel Oil Complex II;Processing Line A;Employee_0125;ID0125;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
126;Fuel Oil Complex II;Processing Line A;Employee_0126;ID0126;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
127;Fuel Oil Complex II;Processing Line A;Employee_0127;ID0127;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
128;Fuel Oil Complex II;Processing Line A;Employee_0128;ID0128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
129;Fuel Oil Complex II;Processing Line A;Employee_0129;ID0129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
130;Fuel Oil Complex II;Processing Line A;Employee_0130;ID0130;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;FALSE
131;Fuel Oil Complex II;Processing Line A;Employee_0131;ID0131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
132;Fuel Oil Complex II;Processing Line A;Employee_0132;ID0132;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;FALSE
133;Fuel Oil Complex II;Processing Line A;Employee_0133;ID0133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
134;Fuel Oil Complex II;Processing Line A;Employee_0134;ID0134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
135;Fuel Oil Complex II;Processing Line A;Employee_0135;ID0135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
136;Oil Movement 60 & NBM;Processing Line A;Employee_0136;ID0136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
137;Oil Movement 60 & NBM;Processing Line A;Employee_0137;ID0137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
138;Oil Movement 60 & NBM;Processing Line A;Employee_0138;ID0138;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
139;Oil Movement 60 & NBM;Processing Line A;Employee_0139;ID0139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
140;Oil Movement 60 & NBM;Processing Line A;Employee_0140;ID0140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
141;Oil Movement 60 & NBM;Processing Line A;Employee_0141;ID0141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
142;Oil Movement 60 & NBM;Processing Line A;Employee_0142;ID0142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
143;Oil Movement 60 & NBM;Processing Line A;Employee_0143;ID0143;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FALSE
144;Oil Movement 60 & NBM;Processing Line A;Employee_0144;ID0144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;FALSE
145;Oil Movement 60 & NBM;Processing Line A;Employee_0145;ID0145;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;FALSE
