no,nama_pekerja,id_pekerja,bagian,fungsi,start_date,end_date,bulan,lokasi,dur,training_id,nama_pelatihan,layering,gender,sumber_data,educational_establishment,skill_group,jenis_pelatihan,valid_for_'year,expire_date,month_ed,year_ed,status,nama_lembaga/provider_sertifikasi,tgl_terima__sertifikat,data_issue
14,Employee_0266,ID0266,Oil Movement 70,Processing Line A,2025-01-23,2025-01-24,January,Cilacap,2,2256,Sertifikasi Petugas Pengukur Tanki,Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,3,2028-01-24,1,2028,Aktif,LSP Pertamina,2025-10-09 00:00:00,False
15,Employee_0271,ID0271,Oil Movement 70,Processing Line A,2025-01-23,2025-01-24,January,Jakarta,2,4724,Sertifikasi Petugas Pengukur Tanki,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,3,2028-01-24,1,2028,Aktif,LSP Pertamina,2025-10-09 00:00:00,False
16,Employee_1421,ID1421,Inventory Control,Supply Chain & Procurement,2025-01-30,2025-01-30,January,Jakarta,1,0063,Fraud Awareness,Staff,Male,SAP,Training,Supporting Group,Technical Training,NULL,2025-01-30,1,2025,Aktif,NULL,NULL,False
17,Employee_0146,ID0146,Oil Movement 60 & NBM,Processing Line A,2025-01-31,2025-01-31,January,Semarang,1,4724,HSE Mandatory - CLSR (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,HSSE Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
18,Employee_0419,ID0419,LOC III,Processing Line B,2025-01-31,2025-01-31,January,Jakarta,1,0216,Basic HSSE Mand.Training (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Production Group,HSSE Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
19,Employee_1482,ID1482,SRU & IPAL,Processing Line B,2025-01-31,2025-01-31,January,Jakarta,1,6321,Respectful Workplace (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
20,Employee_1428,ID1428,Contract Office,Supply Chain & Procurement,2025-01-31,2025-01-31,January,Jakarta,1,4724,Fraud Awareness (Mobile Learning),Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
21,Employee_0066,ID0066,Fuel Oil Complex II,Processing Line A,2025-01-31,2025-01-31,January,Jakarta,1,4724,Fraud Awareness (Mobile Learning),Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
22,Employee_0066,ID0066,Fuel Oil Complex II,Processing Line A,2025-01-31,2025-01-31,January,Purwokerto,1,3409,TKDN (Mobile Learning),Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
23,Employee_1483,ID1483,LOC I,Processing Line B,2025-01-31,2025-01-31,January,Semarang,1,0071,SOVAC Pertamina BEST (Mobile Learning),Sr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
24,Employee_0391,ID0391,LOC II,Processing Line B,2025-01-31,2025-01-31,January,Jakarta,1,4105,Basic Lubricant and Lubrication (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
25,Employee_0391,ID0391,LOC II,Processing Line B,2025-01-31,2025-01-31,January,Jakarta,1,6321,IR for Non HR (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
26,Employee_0391,ID0391,LOC II,Processing Line B,2025-01-31,2025-01-31,January,Jakarta,1,6321,Lubricant and Lubrication for Automotive (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
27,Employee_0391,ID0391,LOC II,Processing Line B,2025-01-31,2025-01-31,January,Cirebon,1,3333,Pertamina Drilling Way (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
28,Employee_0395,ID0395,LOC II,Processing Line B,2025-01-31,2025-01-31,January,Purwokerto,1,2298,SOVAC Pertamina BEST (Mobile Learning),Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
29,Employee_1304,ID1304,Project Engineering,Engineering & Innovation,2025-01-31,2025-01-31,January,Palembang,1,4724,Finance for Non Finance (Mobile Learning),Sr. Staff,Male,SAP,Mobile Learning,Engineering Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
30,Employee_1304,ID1304,Project Engineering,Engineering & Innovation,2025-01-31,2025-01-31,January,Cilacap,1,1713,IR for Non HR (Mobile Learning),Sr. Staff,Male,SAP,Mobile Learning,Engineering Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
31,Employee_0341,ID0341,LOC I,Processing Line B,2025-01-31,2025-01-31,January,Palembang,1,4724,First Aider Level Awareness,Jr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
32,Employee_0457,ID0457,LOC III,Processing Line B,2025-01-31,2025-01-31,January,Semarang,1,1090,Petroleum Business Overview (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
33,Employee_1346,ID1346,OPI,Operational Performance Improvement,2025-02-03,2025-02-04,February,Purwokerto,2,3409,Emergency Response Preparedness (ERP) level Advanced,Sr. Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-04,2,2025,Aktif,NULL,NULL,False
34,Employee_1455,ID1455,HC Business Partner,Human Capital & Talent,2025-02-10,2025-02-12,February,Yogyakarta,3,0184,Advanced SUPREME Mandatory Training,Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-12,2,2025,Aktif,NULL,NULL,False
35,Employee_1345,ID1345,OPI,Operational Performance Improvement,2025-02-10,2025-02-13,February,Purwokerto,4,4724,Pelatihan Asesor Kompetensi,Sr. Staff,Male,SAP,Training,Engineering Group,Technical Training,NULL,2025-02-13,2,2025,Aktif,NULL,NULL,False
36,Employee_1433,ID1433,Warehousing,Supply Chain & Procurement,2025-02-10,2025-02-13,February,Jakarta,4,1089,Process Safety Asset Integrity Management System (PSAIMS) Intermediate,Sr. Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-13,2,2025,Aktif,NULL,NULL,False
37,Employee_1484,ID1484,Fuel Oil Complex I,Processing Line A,2025-02-10,2025-02-12,February,Jakarta,3,7443,Advanced SUPREME Mandatory Training,Sr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-02-12,2,2025,Aktif,NULL,NULL,False
38,Employee_1053,ID1053,Maintenance Area 5,Electrical & Instrument Maintenance,2025-02-10,2025-02-11,February,Bandung,2,8393,First Aider Level 2,Jr. Staff,Male,SAP,Training,Maintenance Group,HSSE Training,NULL,2025-02-11,2,2025,Aktif,NULL,NULL,False
39,Employee_1484,ID1484,Fuel Oil Complex I,Processing Line A,2025-02-10,2025-02-12,February,Yogyakarta,3,4633,Advanced SUPREME Mandatory Training,Sr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-02-12,2,2025,Aktif,NULL,NULL,False
40,Employee_0294,ID0294,SRU & IPAL,Processing Line B,2025-02-12,2025-02-12,February,Jakarta,1,8729,Sertifikasi Limbah Non B3,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,3,2028-02-12,2,2028,Aktif,NULL,NULL,False
41,Employee_1053,ID1053,Maintenance Area 5,Electrical & Instrument Maintenance,2025-02-12,2025-02-12,February,Jakarta,1,0063,Sertifikasi First Aider Level 2,Jr. Staff,Male,SAP,Sertifikasi Kompetensi,Maintenance Group,Certification,3,2028-02-12,2,2028,Aktif,NULL,NULL,False
42,Employee_1345,ID1345,OPI,Operational Performance Improvement,2025-02-14,2025-02-14,February,Purwokerto,1,0071,Sertifikasi Asesor Kompetensi,Sr. Staff,Male,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-02-14,2,2028,Aktif,NULL,NULL,False
43,Employee_1470,ID1470,Asset Operation,Corporate Services,2025-02-17,2025-02-19,February,Purwokerto,3,0071,Intermediate Safety for Refinery (ISR),Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-19,2,2025,Aktif,NULL,NULL,False
44,Employee_1319,ID1319,Energy Con & Loss Control,Engineering & Innovation,2025-02-17,2025-02-20,February,Semarang,4,7443,Pelatihan Manager Energi,Sr. Staff,Male,SAP,Training,Engineering Group,Technical Training,NULL,2025-02-20,2,2025,Aktif,NULL,NULL,False
45,Employee_0301,ID0301,SRU & IPAL,Processing Line B,2025-02-17,2025-02-20,February,Purwokerto,4,0313,Pelatihan Manager Energi,Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-02-20,2,2025,Aktif,NULL,NULL,False
46,Employee_0815,ID0815,Refinery Planning,Business Performance & Optimization,2025-02-17,2025-02-20,February,Jakarta,4,4724,Sertifikasi Manager Energi,Sr. Staff,Female,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-02-20,2,2028,Aktif,NULL,NULL,False
47,Employee_1461,ID1461,Legal Counsel,Corporate Services,2025-02-20,2025-02-21,February,Jakarta,2,0927,Advance Safety for Refinery,Sr. Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-21,2,2025,Aktif,NULL,NULL,False
48,Employee_0607,ID0607,Utilities RFCC,Processing Line C,2025-02-20,2025-02-20,February,Palembang,1,0449,Fraud Awareness,Sr. Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-02-20,2,2025,Aktif,NULL,NULL,False
49,Employee_1319,ID1319,Energy Con & Loss Control,Engineering & Innovation,2025-02-21,2025-02-21,February,Jakarta,1,4724,Sertifikasi Manager Energi,Sr. Staff,Male,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-02-21,2,2028,Aktif,NULL,NULL,False
50,Employee_0301,ID0301,SRU & IPAL,Processing Line B,2025-02-21,2025-02-21,February,Palembang,1,0071,Sertifikasi Manager Energi,Staff,Male,SAP,Sertifikasi Kompetensi,Production Group,Certification,3,2028-02-21,2,2028,Aktif,NULL,NULL,False
51,Employee_1320,ID1320,Energy Con & Loss Control,Engineering & Innovation,2025-02-24,2025-02-27,February,Jakarta,4,2284,Auditor Energi Industri,Staff,Male,SAP,Training,Engineering Group,Technical Training,NULL,2025-02-27,2,2025,Aktif,NULL,NULL,False
52,Employee_1404,ID1404,HSSE,"Health, Safety & Environment",2025-02-24,2025-02-26,February,Purwokerto,3,4724,ToT HSSE Training,Staff,Female,SAP,Training,HSSE Group,HSSE Training,NULL,2025-02-26,2,2025,Aktif,NULL,NULL,False
53,Employee_1348,ID1348,OPI,Operational Performance Improvement,2025-02-24,2025-02-26,February,Bandung,3,1713,ToT HSSE Training,Sr. Staff,Male,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-26,2,2025,Aktif,NULL,NULL,False
54,Employee_0334,ID0334,LOC I,Processing Line B,2025-02-24,2025-02-26,February,Purwokerto,3,0071,ToT HSSE Training,Jr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-02-26,2,2025,Aktif,NULL,NULL,False
55,Employee_0001,ID0001,Energy Processing Unit Alpha,Energy Processing Unit Alpha,2025-02-27,2025-02-27,February,Semarang,1,4724,Strategic Leadership for Managers,Sr. Executive,Male,SAP,Training,Production Group,Technical Training,NULL,2025-02-27,2,2025,Aktif,NULL,NULL,False
56,Employee_1320,ID1320,Energy Con & Loss Control,Engineering & Innovation,2025-02-28,2025-03-01,February,Jakarta,2,4724,Sertifikasi Auditor Energi,Staff,Male,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-03-01,3,2028,Aktif,NULL,NULL,False
57,Employee_0304,ID0304,SRU & IPAL,Processing Line B,2025-03-06,2025-03-06,March,Purwokerto,1,0922,Fraud Awareness,Staff,Male,SAP,Training,Production Group,Technical Training,NULL,2025-03-06,3,2025,Aktif,NULL,NULL,False
58,Employee_0827,ID0827,Supply Chain & Distribution,Business Performance & Optimization,2025-03-06,2025-03-06,March,Cilacap,1,6321,Fraud Awareness,Staff,Male,SAP,Training,Engineering Group,Technical Training,NULL,2025-03-06,3,2025,Aktif,NULL,NULL,False
59,Employee_0594,ID0594,RFCC,Processing Line C,2025-01-31,2025-01-31,January,Jakarta,1,0063,LinkedIn Learning - Building Trust,Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-01-31,1,2025,Aktif,NULL,NULL,False
60,Employee_1485,ID1485,Accounting & Reporting,Finance & Accounting,2025-02-24,2025-02-25,February,Jakarta,2,0071,First Aider Level 2,Sr. Staff,Female,SAP,Training,Supporting Group,HSSE Training,NULL,2025-02-25,2,2025,Aktif,NULL,NULL,False
61,Employee_1485,ID1485,Accounting & Reporting,Finance & Accounting,2025-02-26,2025-02-26,February,Cilacap,1,0063,Sertifikasi First Aider Level 2,Sr. Staff,Female,SAP,Sertifikasi Kompetensi,Supporting Group,Certification,3,2028-02-26,2,2028,Aktif,NULL,NULL,False
62,Employee_1046,ID1046,Maintenance Area 5,Electrical & Instrument Maintenance,2025-02-28,2025-02-28,February,Palembang,1,4724,COACHING (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
63,Employee_1046,ID1046,Maintenance Area 5,Electrical & Instrument Maintenance,2025-02-28,2025-02-28,February,Jakarta,1,0274,HSE Mandatory - CLSR (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Maintenance Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
64,Employee_1046,ID1046,Maintenance Area 5,Electrical & Instrument Maintenance,2025-02-28,2025-02-28,February,Yogyakarta,1,0216,Presentation Skills (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
65,Employee_0604,ID0604,RFCC,Processing Line C,2025-02-28,2025-02-28,February,Jakarta,1,1713,Respectful Workplace (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
66,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Jakarta,1,0071,Respectful Workplace (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
67,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Purwokerto,1,6321,Perilaku Hidup Sehat (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
68,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Jakarta,1,0274,Fraud Awareness (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
69,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Jakarta,1,4724,HSE Mandatory - CLSR (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
70,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Surabaya,1,3409,Fundamental Behaviour Based Safety (BBS) (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
71,Employee_1447,ID1447,Hydrocarbon Accounting,Finance & Accounting,2025-02-28,2025-02-28,February,Jakarta,1,2255,Financial Wellness (Mobile Learning),Jr. Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
72,Employee_0091,ID0091,Fuel Oil Complex II,Processing Line A,2025-02-28,2025-02-28,February,Purwokerto,1,6320,Basic HSSE Mand.Training (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
73,Employee_0091,ID0091,Fuel Oil Complex II,Processing Line A,2025-02-28,2025-02-28,February,Jakarta,1,2276,Fraud Awareness (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
74,Employee_0919,ID0919,Rotating Equipment  Inspection,Maintenance Strategy & Planning,2025-02-28,2025-02-28,February,Jakarta,1,4724,Fraud Awareness (Mobile Learning),Staff,Male,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
75,Employee_0919,ID0919,Rotating Equipment  Inspection,Maintenance Strategy & Planning,2025-02-28,2025-02-28,February,Jakarta,1,0325,COACHING (Mobile Learning),Staff,Male,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
76,Employee_0297,ID0297,SRU & IPAL,Processing Line B,2025-02-28,2025-02-28,February,Jakarta,1,2278,Respectful Workplace (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
77,Employee_1350,ID1350,HSSE,"Health, Safety & Environment",2025-02-28,2025-02-28,February,Jakarta,1,6321,Respectful Workplace (Mobile Learning),Executive,Male,SAP,Mobile Learning,HSSE Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
78,Employee_1320,ID1320,Energy Con & Loss Control,Engineering & Innovation,2025-02-28,2025-03-01,February,Jakarta,2,2276,Sertifikasi Auditor Energi,Staff,Male,SAP,Sertifikasi Kompetensi,Engineering Group,Certification,3,2028-03-01,3,2028,Aktif,LSP Energi Mandiri,2025-08-15 00:00:00,False
79,Employee_0337,ID0337,LOC I,Processing Line B,2025-02-28,2025-02-28,February,Semarang,1,0071,Full Digitalisasi Layanan Invoice and Payment (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
80,Employee_0379,ID0379,LOC II,Processing Line B,2025-02-28,2025-02-28,February,Palembang,1,0071,Presentation Skills (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
81,Employee_0579,ID0579,RFCC,Processing Line C,2025-02-28,2025-02-28,February,Semarang,1,4724,Learning Administration (Mobile Learning ),Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
82,Employee_0579,ID0579,RFCC,Processing Line C,2025-02-28,2025-02-28,February,Yogyakarta,1,0063,Perilaku Hidup Sehat (Mobile Learning),Staff,Male,SAP,Mobile Learning,Production Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
83,Employee_0676,ID0676,GTO RFCC,Processing Line C,2025-02-28,2025-02-28,February,Jakarta,1,4725,Fraud Awareness (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
84,Employee_0829,ID0829,Supply Chain & Distribution,Business Performance & Optimization,2025-02-28,2025-02-28,February,Bandung,1,6321,Fraud Awareness (Mobile Learning),Staff,Male,SAP,Mobile Learning,Engineering Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
85,Employee_0829,ID0829,Supply Chain & Distribution,Business Performance & Optimization,2025-02-28,2025-02-28,February,Cirebon,1,4533,TKDN (Mobile Learning),Staff,Male,SAP,Mobile Learning,Engineering Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
86,Employee_1469,ID1469,Asset Operation,Corporate Services,2025-02-28,2025-02-28,February,Purwokerto,1,0637,Respectful Workplace (Mobile Learning),Staff,Male,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
87,Employee_1469,ID1469,Asset Operation,Corporate Services,2025-02-28,2025-02-28,February,Yogyakarta,1,2276,Fraud Awareness (Mobile Learning),Staff,Male,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
88,Employee_1159,ID1159,Turn Around Area-II,Shutdown & Major Maintenance,2025-02-28,2025-02-28,February,Jakarta,1,3333,Fraud Awareness (Mobile Learning),Staff,Male,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
89,Employee_1159,ID1159,Turn Around Area-II,Shutdown & Major Maintenance,2025-02-28,2025-02-28,February,Jakarta,1,6321,SOVAC Pertamina BEST (Mobile Learning),Staff,Male,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
90,Employee_1163,ID1163,Equipment Overhaul,Shutdown & Major Maintenance,2025-02-28,2025-02-28,February,Jakarta,1,2276,Mind Mapping (Mobile Learning),Staff,Male,SAP,Mobile Learning,Maintenance Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
91,Employee_1460,ID1460,General Support,Corporate Services,2025-02-28,2025-02-28,February,Semarang,1,1090,HSE Mandatory - CLSR (Mobile Learning),Executive,Female,SAP,Mobile Learning,Supporting Group,HSSE Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
92,Employee_1441,ID1441,Budgeting,Finance & Accounting,2025-02-28,2025-02-28,February,Jakarta,1,0065,COACHING (Mobile Learning),Sr. Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
93,Employee_1441,ID1441,Budgeting,Finance & Accounting,2025-02-28,2025-02-28,February,Semarang,1,1303,Starting Out Assessment Center (Mobile Learning),Sr. Staff,Female,SAP,Mobile Learning,Supporting Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
94,Employee_0145,ID0145,Oil Movement 60 & NBM,Processing Line A,2025-02-28,2025-02-28,February,Purwokerto,1,6321,Fraud Awareness (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
95,Employee_0145,ID0145,Oil Movement 60 & NBM,Processing Line A,2025-02-28,2025-02-28,February,Jakarta,1,0543,COACHING (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
96,Employee_0457,ID0457,LOC III,Processing Line B,2025-02-28,2025-02-28,February,Jakarta,1,0543,Fraud Awareness (Mobile Learning),Jr. Staff,Male,SAP,Mobile Learning,Production Group,Technical Training,NULL,2025-02-28,2,2025,Aktif,NULL,NULL,False
97,Employee_0316,ID0316,SRU & IPAL,Processing Line B,2025-03-03,2025-03-04,March,Jakarta,2,0063,Pelatihan Limbah Non B3,Jr. Staff,Male,SAP,Training,Production Group,HSSE Training,NULL,2025-03-04,3,2025,Aktif,NULL,NULL,False
