record_id;id_pekerja;training_id;start_date;end_date;bulan;lokasi;dur;status;expire_date;month_ed;year_ed;sumber_data
39;ID1484;4633;10/02/2025;12/02/2025;February;Yogyakarta;3;Aktif;12/02/2025;2;2025;SAP
40;ID0294;8729;12/02/2025;12/02/2025;February;Jakarta;1;Aktif;12/02/2028;2;2028;SAP
41;ID1053;63;12/02/2025;12/02/2025;February;Jakarta;1;Aktif;12/02/2028;2;2028;SAP
42;ID1345;71;14/02/2025;14/02/2025;February;Purwokerto;1;Aktif;14/02/2028;2;2028;SAP
43;ID1470;71;17/02/2025;19/02/2025;February;Purwokerto;3;Aktif;19/02/2025;2;2025;SAP
44;ID1319;7443;17/02/2025;20/02/2025;February;Semarang;4;Aktif;20/02/2025;2;2025;SAP
45;ID0301;313;17/02/2025;20/02/2025;February;Purwokerto;4;Aktif;20/02/2025;2;2025;SAP
46;ID0815;4724;17/02/2025;20/02/2025;February;Jakarta;4;Aktif;20/02/2028;2;2028;SAP
47;ID1461;927;20/02/2025;21/02/2025;February;Jakarta;2;Aktif;21/02/2025;2;2025;SAP
48;ID0607;449;20/02/2025;20/02/2025;February;Palembang;1;Aktif;20/02/2025;2;2025;SAP
49;ID1319;4724;21/02/2025;21/02/2025;February;Jakarta;1;Aktif;21/02/2028;2;2028;SAP
50;ID0301;71;21/02/2025;21/02/2025;February;Palembang;1;Aktif;21/02/2028;2;2028;SAP
51;ID1320;2284;24/02/2025;27/02/2025;February;Jakarta;4;Aktif;27/02/2025;2;2025;SAP
52;ID1404;4724;24/02/2025;26/02/2025;February;Purwokerto;3;Aktif;26/02/2025;2;2025;SAP
53;ID1348;1713;24/02/2025;26/02/2025;February;Bandung;3;Aktif;26/02/2025;2;2025;SAP
54;ID0334;71;24/02/2025;26/02/2025;February;Purwokerto;3;Aktif;26/02/2025;2;2025;SAP
55;ID0001;4724;27/02/2025;27/02/2025;February;Semarang;1;Aktif;27/02/2025;2;2025;SAP
56;ID1320;4724;28/02/2025;01/03/2025;February;Jakarta;2;Aktif;01/03/2028;3;2028;SAP
57;ID0304;922;06/03/2025;06/03/2025;March;Purwokerto;1;Aktif;06/03/2025;3;2025;SAP
58;ID0827;6321;06/03/2025;06/03/2025;March;Cilacap;1;Aktif;06/03/2025;3;2025;SAP
59;ID0594;63;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;SAP
60;ID1485;71;24/02/2025;25/02/2025;February;Jakarta;2;Aktif;25/02/2025;2;2025;SAP
61;ID1485;63;26/02/2025;26/02/2025;February;Cilacap;1;Aktif;26/02/2028;2;2028;SAP
62;ID1046;4724;28/02/2025;28/02/2025;February;Palembang;1;Aktif;28/02/2025;2;2025;SAP
63;ID1046;274;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
64;ID1046;216;28/02/2025;28/02/2025;February;Yogyakarta;1;Aktif;28/02/2025;2;2025;SAP
65;ID0604;1713;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
66;ID1447;71;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
67;ID1447;6321;28/02/2025;28/02/2025;February;Purwokerto;1;Aktif;28/02/2025;2;2025;SAP
68;ID1447;274;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
69;ID1447;4724;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
70;ID1447;3409;28/02/2025;28/02/2025;February;Surabaya;1;Aktif;28/02/2025;2;2025;SAP
71;ID1447;2255;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
72;ID0091;6320;28/02/2025;28/02/2025;February;Purwokerto;1;Aktif;28/02/2025;2;2025;SAP
73;ID0091;2276;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
74;ID0919;4724;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
75;ID0919;325;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
76;ID0297;2278;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
77;ID1350;6321;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
78;ID1320;2276;28/02/2025;01/03/2025;February;Jakarta;2;Aktif;01/03/2028;3;2028;SAP
79;ID0337;71;28/02/2025;28/02/2025;February;Semarang;1;Aktif;28/02/2025;2;2025;SAP
80;ID0379;71;28/02/2025;28/02/2025;February;Palembang;1;Aktif;28/02/2025;2;2025;SAP
81;ID0579;4724;28/02/2025;28/02/2025;February;Semarang;1;Aktif;28/02/2025;2;2025;SAP
82;ID0579;63;28/02/2025;28/02/2025;February;Yogyakarta;1;Aktif;28/02/2025;2;2025;SAP
83;ID0676;4725;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
84;ID0829;6321;28/02/2025;28/02/2025;February;Bandung;1;Aktif;28/02/2025;2;2025;SAP
85;ID0829;4533;28/02/2025;28/02/2025;February;Cirebon;1;Aktif;28/02/2025;2;2025;SAP
86;ID1469;637;28/02/2025;28/02/2025;February;Purwokerto;1;Aktif;28/02/2025;2;2025;SAP
87;ID1469;2276;28/02/2025;28/02/2025;February;Yogyakarta;1;Aktif;28/02/2025;2;2025;SAP
88;ID1159;3333;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
89;ID1159;6321;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
90;ID1163;2276;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
91;ID1460;1090;28/02/2025;28/02/2025;February;Semarang;1;Aktif;28/02/2025;2;2025;SAP
92;ID1441;65;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
93;ID1441;1303;28/02/2025;28/02/2025;February;Semarang;1;Aktif;28/02/2025;2;2025;SAP
94;ID0145;6321;28/02/2025;28/02/2025;February;Purwokerto;1;Aktif;28/02/2025;2;2025;SAP
95;ID0145;543;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
96;ID0457;543;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;SAP
97;ID0316;63;03/03/2025;04/03/2025;March;Jakarta;2;Aktif;04/03/2025;3;2025;SAP
98;ID0292;4724;03/03/2025;04/03/2025;March;Surabaya;2;Aktif;04/03/2025;3;2025;SAP
99;ID0293;4724;03/03/2025;04/03/2025;March;Jakarta;2;Aktif;04/03/2025;3;2025;SAP
100;ID0316;6321;05/03/2025;05/03/2025;March;Semarang;1;Aktif;05/03/2028;3;2028;SAP
101;ID0292;889;05/03/2025;05/03/2025;March;Jakarta;1;Aktif;05/03/2028;3;2028;SAP
102;ID0293;1713;05/03/2025;05/03/2025;March;Jakarta;1;Aktif;05/03/2028;3;2028;SAP
103;ID0536;2255;05/03/2025;07/03/2025;March;Purwokerto;3;Aktif;07/03/2025;3;2025;SAP
104;ID0013;1713;05/03/2025;07/03/2025;March;Jakarta;3;Aktif;07/03/2025;3;2025;SAP
105;ID1429;2278;13/03/2025;13/03/2025;March;Jakarta;1;Aktif;13/03/2025;3;2025;SAP
106;ID1441;6321;13/03/2025;13/03/2025;March;Jakarta;1;Aktif;13/03/2025;3;2025;SAP
107;ID0982;2276;31/03/2025;31/03/2025;March;Yogyakarta;1;Aktif;31/03/2025;3;2025;SAP
108;ID1318;7454;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
109;ID0539;3333;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
110;ID1306;184;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
111;ID0396;1090;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
112;ID0401;671;31/03/2025;31/03/2025;March;Cilacap;1;Aktif;31/03/2025;3;2025;SAP
113;ID0436;4724;31/03/2025;31/03/2025;March;Bandung;1;Aktif;31/03/2025;3;2025;SAP
114;ID0436;4725;31/03/2025;31/03/2025;March;Palembang;1;Aktif;31/03/2025;3;2025;SAP
115;ID0546;6321;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
116;ID0564;4724;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
117;ID0603;63;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
118;ID0603;7454;31/03/2025;31/03/2025;March;Semarang;1;Aktif;31/03/2025;3;2025;SAP
119;ID0594;71;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
120;ID0574;922;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
121;ID0540;543;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
122;ID0540;1303;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
123;ID0540;2276;31/03/2025;31/03/2025;March;Bandung;1;Aktif;31/03/2025;3;2025;SAP
124;ID0540;274;31/03/2025;31/03/2025;March;Palembang;1;Aktif;31/03/2025;3;2025;SAP
125;ID0540;71;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
126;ID0540;4724;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
127;ID0540;3421;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
128;ID0540;1713;31/03/2025;31/03/2025;March;Palembang;1;Aktif;31/03/2025;3;2025;SAP
129;ID0540;274;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
130;ID0576;4724;31/03/2025;31/03/2025;March;Bandung;1;Aktif;31/03/2025;3;2025;SAP
131;ID0622;71;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
132;ID0622;3409;31/03/2025;31/03/2025;March;Semarang;1;Aktif;31/03/2025;3;2025;SAP
133;ID0638;6321;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
134;ID0644;4633;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
135;ID0613;4724;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
136;ID0536;1303;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
137;ID0996;325;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
138;ID0996;543;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
139;ID1020;4724;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
140;ID1020;926;31/03/2025;31/03/2025;March;Semarang;1;Aktif;31/03/2025;3;2025;SAP
141;ID1025;6321;31/03/2025;31/03/2025;March;Bandung;1;Aktif;31/03/2025;3;2025;SAP
142;ID1025;936;31/03/2025;31/03/2025;March;Cilacap;1;Aktif;31/03/2025;3;2025;SAP
143;ID1025;6321;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
144;ID1025;2256;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
145;ID1025;63;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
146;ID1025;4724;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
147;ID0860;1089;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
148;ID0715;4724;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
149;ID0715;4724;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
150;ID0715;6319;31/03/2025;31/03/2025;March;Yogyakarta;1;Aktif;31/03/2025;3;2025;SAP
151;ID0714;4725;31/03/2025;31/03/2025;March;Palembang;1;Aktif;31/03/2025;3;2025;SAP
152;ID0714;8729;31/03/2025;31/03/2025;March;Purwokerto;1;Aktif;31/03/2025;3;2025;SAP
153;ID0714;543;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
154;ID0745;4725;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
155;ID0740;4725;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
156;ID0740;2276;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
157;ID0740;6321;31/03/2025;31/03/2025;March;Yogyakarta;1;Aktif;31/03/2025;3;2025;SAP
158;ID1410;103;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
159;ID0312;1713;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;SAP
160;ID1366;4724;21/04/2025;27/04/2025;April;Purwokerto;7;Aktif;27/04/2030;4;2030;SAP
161;ID1368;4725;21/04/2025;27/04/2025;April;Jakarta;7;Aktif;27/04/2030;4;2030;SAP
162;ID1370;364;21/04/2025;27/04/2025;April;Bandung;7;Aktif;27/04/2030;4;2030;SAP
163;ID1380;71;21/04/2025;27/04/2025;April;Jakarta;7;Aktif;27/04/2030;4;2030;SAP
164;ID0353;313;21/04/2025;23/04/2025;April;Bandung;3;Aktif;23/04/2025;4;2025;SAP
165;ID0841;1713;21/04/2025;23/04/2025;April;Jakarta;3;Aktif;23/04/2025;4;2025;SAP
166;ID0417;274;21/04/2025;23/04/2025;April;Jakarta;3;Aktif;23/04/2025;4;2025;SAP
167;ID0353;4725;24/04/2025;24/04/2025;April;Jakarta;1;Aktif;24/04/2028;4;2028;SAP
168;ID0841;2256;24/04/2025;24/04/2025;April;Bandung;1;Aktif;24/04/2028;4;2028;SAP
169;ID1366;63;28/04/2025;29/04/2025;April;Bandung;2;Aktif;29/04/2030;4;2030;SAP
170;ID1368;2276;28/04/2025;29/04/2025;April;Bandung;2;Aktif;29/04/2030;4;2030;SAP
171;ID1370;3409;28/04/2025;29/04/2025;April;Semarang;2;Aktif;29/04/2030;4;2030;SAP
172;ID1380;8729;28/04/2025;29/04/2025;April;Jakarta;2;Aktif;29/04/2030;4;2030;SAP
173;ID0419;3339;30/04/2025;30/04/2025;April;Bandung;1;Aktif;30/04/2025;4;2025;SAP
174;ID0298;543;30/04/2025;30/04/2025;April;Cirebon;1;Aktif;30/04/2025;4;2025;SAP
175;ID0747;1713;30/04/2025;30/04/2025;April;Surabaya;1;Aktif;30/04/2025;4;2025;SAP
176;ID0849;1713;30/04/2025;30/04/2025;April;Bandung;1;Aktif;30/04/2025;4;2025;SAP
177;ID0125;8729;30/04/2025;30/04/2025;April;Jakarta;1;Aktif;30/04/2025;4;2025;SAP
178;ID0539;2276;30/04/2025;30/04/2025;April;Purwokerto;1;Aktif;30/04/2025;4;2025;SAP
179;ID0322;7475;30/04/2025;30/04/2025;April;Jakarta;1;Aktif;30/04/2025;4;2025;SAP
180;ID0388;71;30/04/2025;30/04/2025;April;Jakarta;1;Aktif;30/04/2025;4;2025;SAP
181;ID0542;2276;30/04/2025;30/04/2025;April;Cilacap;1;Aktif;30/04/2025;4;2025;SAP
182;ID0574;3780;30/04/2025;30/04/2025;April;Semarang;1;Aktif;30/04/2025;4;2025;SAP
183;ID0549;4724;30/04/2025;30/04/2025;April;Cilacap;1;Aktif;30/04/2025;4;2025;SAP
184;ID0613;4724;30/04/2025;30/04/2025;April;Yogyakarta;1;Aktif;30/04/2025;4;2025;SAP
185;ID0988;3323;30/04/2025;30/04/2025;April;Surabaya;1;Aktif;30/04/2025;4;2025;SAP
186;ID0645;313;30/04/2025;30/04/2025;April;Bandung;1;Aktif;30/04/2025;4;2025;SAP
187;ID0745;7475;30/04/2025;30/04/2025;April;Jakarta;1;Aktif;30/04/2025;4;2025;SAP
188;ID0393;4724;30/04/2025;30/04/2025;April;Purwokerto;1;Aktif;30/04/2025;4;2025;SAP
189;ID0295;2276;30/04/2025;30/04/2025;April;Jakarta;1;Aktif;30/04/2025;4;2025;SAP
190;ID1169;1713;05/05/2025;09/05/2025;May;Jakarta;5;Aktif;09/05/2025;5;2025;SAP
191;ID0010;63;05/05/2025;07/05/2025;May;Surabaya;3;Aktif;07/05/2025;5;2025;SAP
192;ID1441;1713;14/05/2025;16/05/2025;May;Jakarta;3;Aktif;16/05/2028;5;2028;SAP
193;ID0103;4633;15/05/2025;15/05/2025;May;Bandung;1;Aktif;15/05/2028;5;2028;SAP
194;ID0122;6320;15/05/2025;15/05/2025;May;Cilacap;1;Aktif;15/05/2028;5;2028;SAP
195;ID0470;4724;15/05/2025;15/05/2025;May;Jakarta;1;Aktif;15/05/2028;5;2028;SAP
196;ID0868;2277;15/05/2025;15/05/2025;May;Palembang;1;Aktif;15/05/2028;5;2028;SAP
197;ID0869;543;15/05/2025;15/05/2025;May;Yogyakarta;1;Aktif;15/05/2028;5;2028;SAP
198;ID0845;63;15/05/2025;15/05/2025;May;Yogyakarta;1;Aktif;15/05/2028;5;2028;SAP
199;ID1183;4724;15/05/2025;15/05/2025;May;Purwokerto;1;Aktif;15/05/2028;5;2028;SAP
200;ID0026;1089;15/05/2025;15/05/2025;May;Surabaya;1;Aktif;15/05/2028;5;2028;SAP
201;ID0041;1713;15/05/2025;15/05/2025;May;Jakarta;1;Aktif;15/05/2028;5;2028;SAP
202;ID0305;449;19/05/2025;22/05/2025;May;Purwokerto;4;Aktif;22/05/2025;5;2025;SAP
203;ID0880;1713;05/05/2025;08/05/2025;May;Jakarta;4;Aktif;08/05/2025;5;2025;SAP
204;ID1464;7498;05/05/2025;07/05/2025;May;Cilacap;3;Aktif;07/05/2025;5;2025;SAP
205;ID1350;1456;05/05/2025;07/05/2025;May;Jakarta;3;Aktif;07/05/2025;5;2025;SAP
206;ID1452;4724;05/05/2025;07/05/2025;May;Jakarta;3;Aktif;07/05/2025;5;2025;SAP
207;ID0007;63;05/05/2025;07/05/2025;May;Purwokerto;3;Aktif;07/05/2025;5;2025;SAP
208;ID1486;184;05/05/2025;07/05/2025;May;Jakarta;3;Aktif;07/05/2025;5;2025;SAP
209;ID0715;6321;05/05/2025;08/05/2025;May;Purwokerto;4;Aktif;08/05/2025;5;2025;SAP
210;ID0278;5094;05/05/2025;07/05/2025;May;Jakarta;3;Aktif;07/05/2025;5;2025;SAP
211;ID1466;4725;05/05/2025;08/05/2025;May;Bandung;4;Aktif;08/05/2025;5;2025;SAP
212;ID1402;3323;07/05/2025;09/05/2025;May;Jakarta;3;Aktif;09/05/2025;5;2025;SAP
213;ID1322;364;07/05/2025;09/05/2025;May;Palembang;3;Aktif;09/05/2025;5;2025;SAP
214;ID1253;4725;07/05/2025;08/05/2025;May;Jakarta;2;Aktif;08/05/2025;5;2025;SAP
215;ID0205;3330;09/05/2025;09/05/2025;May;Bandung;1;Aktif;09/05/2025;5;2025;SAP
216;ID1253;2298;09/05/2025;09/05/2025;May;Jakarta;1;Aktif;09/05/2028;5;2028;SAP
217;ID1440;543;14/05/2025;16/05/2025;May;Semarang;3;Aktif;16/05/2028;5;2028;SAP
218;ID1372;543;19/05/2025;25/05/2025;May;Semarang;7;Aktif;25/05/2030;5;2030;SAP
219;ID1365;6321;19/05/2025;25/05/2025;May;Purwokerto;7;Aktif;25/05/2030;5;2030;SAP
220;ID1374;126;19/05/2025;25/05/2025;May;Purwokerto;7;Aktif;25/05/2030;5;2030;SAP
221;ID1378;4724;19/05/2025;25/05/2025;May;Cilacap;7;Aktif;25/05/2030;5;2030;SAP
222;ID1379;188;19/05/2025;25/05/2025;May;Jakarta;7;Aktif;25/05/2030;5;2030;SAP
223;ID0236;1303;19/05/2025;23/05/2025;May;Cirebon;5;Aktif;23/05/2025;5;2025;SAP
224;ID0394;364;19/05/2025;23/05/2025;May;Jakarta;5;Aktif;23/05/2025;5;2025;SAP
225;ID0279;699;19/05/2025;23/05/2025;May;Jakarta;5;Aktif;23/05/2025;5;2025;SAP
226;ID1272;1303;22/05/2025;22/05/2025;May;Semarang;1;Aktif;22/05/2025;5;2025;SAP
227;ID1311;1089;22/05/2025;22/05/2025;May;Cilacap;1;Aktif;22/05/2025;5;2025;SAP
228;ID1372;342;26/05/2025;28/05/2025;May;Semarang;3;Aktif;28/05/2030;5;2030;SAP
229;ID1365;4725;26/05/2025;28/05/2025;May;Jakarta;3;Aktif;28/05/2030;5;2030;SAP
230;ID1374;4724;26/05/2025;28/05/2025;May;Bandung;3;Aktif;28/05/2030;5;2030;SAP
231;ID1378;2258;26/05/2025;28/05/2025;May;Purwokerto;3;Aktif;28/05/2030;5;2030;SAP
232;ID1379;1713;26/05/2025;28/05/2025;May;Jakarta;3;Aktif;28/05/2030;5;2030;SAP
233;ID1486;4724;26/05/2025;27/05/2025;May;Cilacap;2;Aktif;27/05/2025;5;2025;SAP
234;ID1306;184;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
235;ID0369;65;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
236;ID0408;4724;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
237;ID0377;926;31/05/2025;31/05/2025;May;Semarang;1;Aktif;31/05/2025;5;2025;SAP
238;ID0434;4724;31/05/2025;31/05/2025;May;Purwokerto;1;Aktif;31/05/2025;5;2025;SAP
239;ID0614;71;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
240;ID0614;543;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
241;ID0614;2256;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
242;ID0615;364;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
243;ID0636;1713;31/05/2025;31/05/2025;May;Yogyakarta;1;Aktif;31/05/2025;5;2025;SAP
244;ID0636;1713;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
245;ID0636;3780;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
246;ID0636;449;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
247;ID0636;8474;31/05/2025;31/05/2025;May;Semarang;1;Aktif;31/05/2025;5;2025;SAP
248;ID0636;6321;31/05/2025;31/05/2025;May;Bogor;1;Aktif;31/05/2025;5;2025;SAP
249;ID0636;322;31/05/2025;31/05/2025;May;Cilacap;1;Aktif;31/05/2025;5;2025;SAP
250;ID0636;1713;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
251;ID0636;126;31/05/2025;31/05/2025;May;Jakarta;1;Aktif;31/05/2025;5;2025;SAP
252;ID0636;6321;31/05/2025;31/05/2025;May;Semarang;1;Aktif;31/05/2025;5;2025;SAP
253;ID0636;6320;31/05/2025;31/05/2025;May;Surabaya;1;Aktif;31/05/2025;5;2025;SAP
