record_id;id_pekerja;training_id;jenis_pelatihan;layering;skill_group;educational_establishment;start_date;end_date;bulan;lokasi;dur;status;expire_date;month_ed;year_ed;nama_lembaga_sertifikasi;tgl_terima_sertifikat;sumber_data
ET00013;ID0252;2276;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;LSP Pertamina;09/10/2025 00:00;SAP
ET00014;ID0266;2256;Certification;Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;LSP Pertamina;09/10/2025 00:00;SAP
ET00015;ID0271;4724;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;23/01/2025;24/01/2025;January;Jakarta;2;Aktif;24/01/2028;1;2028;LSP Pertamina;09/10/2025 00:00;SAP
ET00016;ID1421;63;Technical Training;Staff;Supporting Group;Training;30/01/2025;30/01/2025;January;Jakarta;1;Aktif;30/01/2025;1;2025;;;SAP
ET00017;ID0146;4724;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00018;ID0419;216;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00019;ID1482;6321;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00020;ID1428;4724;Technical Training;Staff;Supporting Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00021;ID0066;4724;Technical Training;Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00022;ID0066;3409;Technical Training;Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00023;ID1483;71;Technical Training;Sr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00024;ID0391;4105;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00025;ID0391;6321;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00026;ID0391;3333;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00027;ID0395;2298;Technical Training;Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00028;ID1304;4724;Technical Training;Sr. Staff;Engineering Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00029;ID1304;1713;Technical Training;Sr. Staff;Engineering Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00030;ID0341;4724;HSSE Training;Jr. Staff;Production Group;Training;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00031;ID0457;1090;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00032;ID1346;3409;HSSE Training;Sr. Staff;Supporting Group;Training;03/02/2025;04/02/2025;February;Bandung;2;Aktif;04/02/2025;2;2025;;;SAP
ET00033;ID1455;184;HSSE Training;Staff;Supporting Group;Training;10/02/2025;12/02/2025;February;Bandung;3;Aktif;12/02/2025;2;2025;;;SAP
ET00034;ID1345;4724;Technical Training;Sr. Staff;Engineering Group;Training;10/02/2025;13/02/2025;February;Bandung;4;Aktif;13/02/2025;2;2025;;;SAP
ET00035;ID1433;1089;HSSE Training;Sr. Staff;Supporting Group;Training;10/02/2025;13/02/2025;February;Cirebon;4;Aktif;13/02/2025;2;2025;;;SAP
ET00036;ID1484;7443;HSSE Training;Sr. Staff;Production Group;Training;10/02/2025;12/02/2025;February;Bandung;3;Aktif;12/02/2025;2;2025;;;SAP
ET00037;ID1053;8393;HSSE Training;Jr. Staff;Maintenance Group;Training;10/02/2025;11/02/2025;February;Bandung;2;Aktif;11/02/2025;2;2025;;;SAP
ET00038;ID1484;4633;HSSE Training;Sr. Staff;Production Group;Training;10/02/2025;12/02/2025;February;Bandung;3;Aktif;12/02/2025;2;2025;;;SAP
ET00039;ID0294;8729;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;12/02/2025;12/02/2025;February;Palembang;1;Aktif;12/02/2028;2;2028;;;SAP
ET00040;ID1053;63;Certification;Jr. Staff;Maintenance Group;Sertifikasi Kompetensi;12/02/2025;12/02/2025;February;Bandung;1;Aktif;12/02/2028;2;2028;;;SAP
ET00041;ID1345;71;Certification;Sr. Staff;Engineering Group;Sertifikasi Kompetensi;14/02/2025;14/02/2025;February;Bandung;1;Aktif;14/02/2028;2;2028;;;SAP
ET00042;ID1470;71;HSSE Training;Staff;Supporting Group;Training;17/02/2025;19/02/2025;February;Cirebon;3;Aktif;19/02/2025;2;2025;;;SAP
ET00043;ID1319;7443;Technical Training;Sr. Staff;Engineering Group;Training;17/02/2025;20/02/2025;February;Palembang;4;Aktif;20/02/2025;2;2025;;;SAP
ET00044;ID0301;313;Technical Training;Staff;Production Group;Training;17/02/2025;20/02/2025;February;Palembang;4;Aktif;20/02/2025;2;2025;;;SAP
ET00045;ID0815;4724;Certification;Sr. Staff;Engineering Group;Sertifikasi Kompetensi;17/02/2025;20/02/2025;February;Jakarta;4;Aktif;20/02/2028;2;2028;;;SAP
ET00046;ID1461;927;HSSE Training;Sr. Staff;Supporting Group;Training;20/02/2025;21/02/2025;February;Semarang;2;Aktif;21/02/2025;2;2025;;;SAP
ET00047;ID0607;449;Technical Training;Sr. Staff;Production Group;Training;20/02/2025;20/02/2025;February;Jakarta;1;Aktif;20/02/2025;2;2025;;;SAP
ET00048;ID1319;4724;Certification;Sr. Staff;Engineering Group;Sertifikasi Kompetensi;21/02/2025;21/02/2025;February;Palembang;1;Aktif;21/02/2028;2;2028;;;SAP
ET00049;ID0301;71;Certification;Staff;Production Group;Sertifikasi Kompetensi;21/02/2025;21/02/2025;February;Palembang;1;Aktif;21/02/2028;2;2028;;;SAP
ET00050;ID1320;2284;Technical Training;Staff;Engineering Group;Training;24/02/2025;27/02/2025;February;Palembang;4;Aktif;27/02/2025;2;2025;;;SAP
ET00051;ID1404;4724;HSSE Training;Staff;HSSE Group;Training;24/02/2025;26/02/2025;February;Bandung;3;Aktif;26/02/2025;2;2025;;;SAP
ET00052;ID1348;1713;HSSE Training;Sr. Staff;Supporting Group;Training;24/02/2025;26/02/2025;February;Bandung;3;Aktif;26/02/2025;2;2025;;;SAP
ET00053;ID0334;71;HSSE Training;Jr. Staff;Production Group;Training;24/02/2025;26/02/2025;February;Bandung;3;Aktif;26/02/2025;2;2025;;;SAP
ET00054;ID0001;4724;Technical Training;Sr. Executive;Production Group;Training;27/02/2025;27/02/2025;February;Jakarta;1;Aktif;27/02/2025;2;2025;;;SAP
ET00055;ID1320;4724;Certification;Staff;Engineering Group;Sertifikasi Kompetensi;28/02/2025;01/03/2025;February;Palembang;2;Aktif;01/03/2028;3;2028;;;SAP
ET00056;ID0304;922;Technical Training;Staff;Production Group;Training;06/03/2025;06/03/2025;March;Jakarta;1;Aktif;06/03/2025;3;2025;;;SAP
ET00057;ID0827;6321;Technical Training;Staff;Engineering Group;Training;06/03/2025;06/03/2025;March;Jakarta;1;Aktif;06/03/2025;3;2025;;;SAP
ET00058;ID0594;63;Technical Training;Staff;Production Group;Mobile Learning;31/01/2025;31/01/2025;January;Jakarta;1;Aktif;31/01/2025;1;2025;;;SAP
ET00059;ID1485;71;HSSE Training;Sr. Staff;Supporting Group;Training;24/02/2025;25/02/2025;February;Bandung;2;Aktif;25/02/2025;2;2025;;;SAP
ET00060;ID1485;63;Certification;Sr. Staff;Supporting Group;Sertifikasi Kompetensi;26/02/2025;26/02/2025;February;Bandung;1;Aktif;26/02/2028;2;2028;;;SAP
ET00061;ID1046;4724;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00062;ID1046;274;HSSE Training;Jr. Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00063;ID1046;216;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00064;ID0604;1713;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00065;ID1447;71;Technical Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00066;ID1447;6321;HSSE Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00067;ID1447;274;Technical Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00068;ID1447;4724;HSSE Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00069;ID1447;3409;HSSE Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00070;ID1447;2255;Technical Training;Jr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00071;ID0091;6320;HSSE Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00072;ID0091;2276;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00073;ID0919;4724;Technical Training;Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00074;ID0919;325;Technical Training;Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00075;ID0297;2278;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00076;ID1350;6321;Technical Training;Executive;HSSE Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00077;ID1320;2276;Certification;Staff;Engineering Group;Sertifikasi Kompetensi;28/02/2025;01/03/2025;February;Palembang;2;Aktif;01/03/2028;3;2028;LSP Energi Mandiri;15/08/2025 00:00;SAP
ET00078;ID0337;71;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00079;ID0379;71;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00080;ID0579;4724;Technical Training;Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00081;ID0579;63;HSSE Training;Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00082;ID0676;4725;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00083;ID0829;6321;Technical Training;Staff;Engineering Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00084;ID0829;4533;Technical Training;Staff;Engineering Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00085;ID1469;637;Technical Training;Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00086;ID1469;2276;Technical Training;Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00087;ID1159;3333;Technical Training;Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00088;ID1159;6321;Technical Training;Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00089;ID1163;2276;Technical Training;Staff;Maintenance Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00090;ID1460;1090;HSSE Training;Executive;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00091;ID1441;65;Technical Training;Sr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00092;ID1441;1303;Technical Training;Sr. Staff;Supporting Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00093;ID0145;6321;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00094;ID0145;543;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00095;ID0457;543;Technical Training;Jr. Staff;Production Group;Mobile Learning;28/02/2025;28/02/2025;February;Jakarta;1;Aktif;28/02/2025;2;2025;;;SAP
ET00096;ID0316;63;HSSE Training;Jr. Staff;Production Group;Training;03/03/2025;04/03/2025;March;Palembang;2;Aktif;04/03/2025;3;2025;;;SAP
ET00097;ID0292;4724;HSSE Training;Jr. Staff;Production Group;Training;03/03/2025;04/03/2025;March;Palembang;2;Aktif;04/03/2025;3;2025;;;SAP
ET00098;ID0293;4724;HSSE Training;Jr. Staff;Production Group;Training;03/03/2025;04/03/2025;March;Palembang;2;Aktif;04/03/2025;3;2025;;;SAP
ET00099;ID0316;6321;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;05/03/2025;05/03/2025;March;Palembang;1;Aktif;05/03/2028;3;2028;;;SAP
ET00100;ID0292;889;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;05/03/2025;05/03/2025;March;Palembang;1;Aktif;05/03/2028;3;2028;;;SAP
ET00101;ID0293;1713;Certification;Jr. Staff;Production Group;Sertifikasi Kompetensi;05/03/2025;05/03/2025;March;Palembang;1;Aktif;05/03/2028;3;2028;;;SAP
ET00102;ID0536;2255;HSSE Training;Staff;Production Group;Training;05/03/2025;07/03/2025;March;Jakarta;3;Aktif;07/03/2025;3;2025;;;SAP
ET00103;ID0013;1713;HSSE Training;Staff;Production Group;Training;05/03/2025;07/03/2025;March;Jakarta;3;Aktif;07/03/2025;3;2025;;;SAP
ET00104;ID1429;2278;Technical Training;Staff;Supporting Group;Training;13/03/2025;13/03/2025;March;Jakarta;1;Aktif;13/03/2025;3;2025;;;SAP
ET00105;ID1441;6321;Technical Training;Sr. Staff;Supporting Group;Training;13/03/2025;13/03/2025;March;Jakarta;1;Aktif;13/03/2025;3;2025;;;SAP
ET00106;ID0982;2276;Technical Training;Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00107;ID1318;7454;Technical Training;Staff;Engineering Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00108;ID0539;3333;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00109;ID1306;184;Technical Training;Staff;Engineering Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00110;ID0396;1090;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00111;ID0401;671;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00112;ID0436;4724;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00113;ID0436;4725;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00114;ID0546;6321;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00115;ID0564;4724;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00116;ID0603;63;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00117;ID0603;7454;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00118;ID0594;71;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00119;ID0574;922;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00120;ID0540;543;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00121;ID0540;1303;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00122;ID0540;2276;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00123;ID0540;274;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00124;ID0540;71;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00125;ID0540;4724;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00126;ID0540;3421;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00127;ID0540;1713;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00128;ID0540;274;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00129;ID0576;4724;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00130;ID0622;71;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00131;ID0622;3409;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00132;ID0638;6321;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00133;ID0644;4633;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00134;ID0613;4724;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00135;ID0536;1303;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00136;ID0996;325;HSSE Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00137;ID0996;543;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00138;ID1020;4724;HSSE Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00139;ID1020;926;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00140;ID1025;6321;HSSE Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00141;ID1025;936;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00142;ID1025;6321;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00143;ID1025;2256;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00144;ID1025;63;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00145;ID1025;4724;Technical Training;Jr. Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00146;ID0860;1089;Technical Training;Staff;Maintenance Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00147;ID0715;4724;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00148;ID0715;6319;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00149;ID0714;4725;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00150;ID0714;8729;HSSE Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00151;ID0714;543;Technical Training;Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00152;ID0745;4725;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00153;ID0740;4725;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00154;ID0740;2276;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00155;ID0740;6321;HSSE Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00156;ID1410;103;Technical Training;Staff;Supporting Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00157;ID0312;1713;Technical Training;Jr. Staff;Production Group;Mobile Learning;31/03/2025;31/03/2025;March;Jakarta;1;Aktif;31/03/2025;3;2025;;;SAP
ET00158;ID1366;4724;HSSE Training;Jr. Staff;HSSE Group;Training;21/04/2025;27/04/2025;April;Yogyakarta;7;Aktif;27/04/2030;4;2030;Provider 1;10/09/2025 00:00;SAP
ET00159;ID1368;4725;HSSE Training;Jr. Staff;HSSE Group;Training;21/04/2025;27/04/2025;April;Yogyakarta;7;Aktif;27/04/2030;4;2030;Provider 1;10/09/2025 00:00;SAP
